fn,dataset,meteor
\test_set\meteor\image-20210219194325.jpg,test_set,meteor
\test_set\meteor\image-20210219195726.jpg,test_set,meteor
\test_set\meteor\image-20210220000355.jpg,test_set,meteor
\test_set\meteor\image-20210220061647.jpg,test_set,meteor
\test_set\meteor\image-20210220063819.jpg,test_set,meteor
\test_set\meteor\image-20210311051052.jpg,test_set,meteor
\test_set\meteor\image-20210311230025.jpg,test_set,meteor
\test_set\meteor\image-20210312040831.jpg,test_set,meteor
\test_set\meteor\image-20210312233502.jpg,test_set,meteor
\test_set\meteor\image-20210313055747.jpg,test_set,meteor
\test_set\meteor\image-20210313210134.jpg,test_set,meteor
\test_set\meteor\image-20210314055405.jpg,test_set,meteor
\test_set\meteor\image-20210314202301.jpg,test_set,meteor
\test_set\meteor\image-20210314204904.jpg,test_set,meteor
\test_set\meteor\image-20210315033752.jpg,test_set,meteor
\test_set\meteor\image-20210315040525.jpg,test_set,meteor
\test_set\meteor\image-20210315205020.jpg,test_set,meteor
\test_set\meteor\image-20210316200337.jpg,test_set,meteor
\test_set\meteor\image-20210316201708.jpg,test_set,meteor
\test_set\meteor\image-20210316212116.jpg,test_set,meteor
\test_set\meteor\image-20210318054601.jpg,test_set,meteor
\test_set\meteor\image-20210318054631.jpg,test_set,meteor
\test_set\meteor\image-20210320035204.jpg,test_set,meteor
\test_set\meteor\image-20210320210458.jpg,test_set,meteor
\test_set\meteor\image-20210320214132.jpg,test_set,meteor
\test_set\meteor\image-20210321201935.jpg,test_set,meteor
\test_set\meteor\image-20210322203808.jpg,test_set,meteor
\test_set\meteor\image-20210322223521.jpg,test_set,meteor
\test_set\meteor\image-20210323043421.jpg,test_set,meteor
\test_set\meteor\image-20210323060304.jpg,test_set,meteor
\test_set\meteor\image-20210323202043.jpg,test_set,meteor
\test_set\meteor\image-20210324032010.jpg,test_set,meteor
\test_set\meteor\image-20210324204104.jpg,test_set,meteor
\test_set\meteor\image-20210324230135.jpg,test_set,meteor
\test_set\meteor\image-20210329025911.jpg,test_set,meteor
\test_set\meteor\image-20210329025937.jpg,test_set,meteor
\test_set\meteor\image-20210330043614.jpg,test_set,meteor
\test_set\meteor\image-20210331055220.jpg,test_set,meteor
\test_set\meteor\image-20210331213128.jpg,test_set,meteor
\test_set\meteor\image-20210403055203.jpg,test_set,meteor
\test_set\meteor\image-20210403055304.jpg,test_set,meteor
\test_set\meteor\image-20210405211420.jpg,test_set,meteor
\test_set\meteor\image-20210406020825.jpg,test_set,meteor
\test_set\meteor\image-20210406042410.jpg,test_set,meteor
\test_set\meteor\image-20210406213842.jpg,test_set,meteor
\test_set\meteor\image-20210410220608.jpg,test_set,meteor
\test_set\meteor\image-20210412232908.jpg,test_set,meteor
\test_set\meteor\image-20210418214812.jpg,test_set,meteor
\test_set\meteor\image-20210418214842.jpg,test_set,meteor
\test_set\meteor\image-20210418214942.jpg,test_set,meteor
\test_set\meteor\image-20210418215012.jpg,test_set,meteor
\test_set\meteor\image-20210418222116.jpg,test_set,meteor
\test_set\meteor\image-20210418222145.jpg,test_set,meteor
\test_set\meteor\image-20210418232122.jpg,test_set,meteor
\test_set\meteor\image-20210418232152.jpg,test_set,meteor
\test_set\meteor\image-20210419004000.jpg,test_set,meteor
\test_set\meteor\image-20210419015739.jpg,test_set,meteor
\test_set\meteor\image-20210419015809.jpg,test_set,meteor
\test_set\meteor\image-20210419015839.jpg,test_set,meteor
\test_set\meteor\image-20210419015909.jpg,test_set,meteor
\test_set\meteor\image-20210419015939.jpg,test_set,meteor
